sample	num_consensus_snps	number_N_calls
ST20111372_S1_L001	50314	376413
ST20111452_S1_L001	49373	391785
ST20111792	48992	383444
ST20112206	440	207453
ST20112208	50306	343979
ST20112212	677	176276
ST20112213	657	164803
ST20112215	45490	348899
ST20112222	45267	362086
ST20112455	48606	393995
ST20120204_S1_L001	48517	403777
ST20120205	1346	136189
ST20120206_S1_L001	50386	379779
ST20120207	48513	390954
ST20120208	990	157395
ST20120211_S1_L001	50451	374670
